,Date,Low,High,Close,Open
135,2021-04-15,22.69,24.06,23.15,24.01
134,2021-04-14,23.65,26.2,23.7,25.35
133,2021-04-13,23.12,25.6585,25.42,23.19
132,2021-04-12,22.73,24.55,23.34,24.52
131,2021-04-09,23.37,24.35,24.04,23.46
130,2021-04-08,22.74,23.6,23.41,23.2
129,2021-04-07,22.81,23.55,22.9,23.0
128,2021-04-06,22.83,23.61,23.27,23.55
127,2021-04-05,23.3401,24.45,23.44,23.78
126,2021-04-01,22.73,23.95,23.07,23.95
125,2021-03-31,22.38,23.85,23.29,22.5
124,2021-03-30,20.86,22.09,22.04,21.36
123,2021-03-29,21.39,22.5,21.73,22.48
122,2021-03-26,21.76,23.05,22.58,22.63
121,2021-03-25,21.05,22.8,22.58,21.2
120,2021-03-24,21.75,23.485,21.88,23.3
119,2021-03-23,23.1,24.105,23.26,24.0
118,2021-03-22,23.86,24.92,24.22,24.89
117,2021-03-19,23.39,24.57,24.32,24.01
116,2021-03-18,23.78,25.18,23.98,24.73
115,2021-03-17,24.3,25.73,25.21,24.52
114,2021-03-16,25.23,27.1,25.61,26.75
113,2021-03-15,26.31,27.47,26.79,27.35
112,2021-03-12,25.18,26.92,26.92,25.74
111,2021-03-11,25.58,26.84,26.73,25.95
110,2021-03-10,24.27,26.24,24.75,25.03
109,2021-03-09,23.1,24.74,24.26,23.38
108,2021-03-08,22.4,24.58,22.52,23.77
107,2021-03-05,20.18,24.68,23.95,24.36
106,2021-03-04,23.05,25.56,24.73,24.85
105,2021-03-03,23.43,25.1678,23.59,24.99
104,2021-03-02,24.26,25.59,24.48,25.0
103,2021-03-01,24.62,25.9,24.81,25.19
102,2021-02-26,22.7,24.5,23.9,24.2
101,2021-02-25,23.15,26.44,23.96,25.82
100,2021-02-24,25.75,27.23,26.39,26.71
99,2021-02-23,23.9,27.46,26.75,25.96
98,2021-02-22,27.536,30.19,28.0,29.96
97,2021-02-19,26.9,29.96,29.0,27.02
96,2021-02-18,24.5,26.31,25.17,24.99
95,2021-02-17,27.0,29.73,27.08,27.99
94,2021-02-16,27.3,30.44,27.84,30.02
93,2021-02-12,31.34,33.65,31.91,33.36
92,2021-02-11,32.61,35.98,33.11,35.79
91,2021-02-10,35.0,38.24,35.7,38.15
90,2021-02-09,36.13,38.255,38.17,36.9
89,2021-02-08,35.89,39.22,36.05,37.22
88,2021-02-05,31.75,35.2,34.05,32.61
87,2021-02-04,31.05,33.18,32.05,32.58
86,2021-02-03,31.38,32.95,31.76,32.39
85,2021-02-02,30.5,34.2,31.02,34.1
84,2021-02-01,32.58,35.6199,33.96,35.33
83,2021-01-29,34.66,38.01,35.18,36.61
82,2021-01-28,33.1,42.0,35.66,39.54
